Musteri_ID,Musteri_Yas,Musteri_Cins,Ayliq_Emekhaqqi,Bankla_Emekdasliq_Muddeti_Ay,Risk_Seqmenti,Aktiv_Kartlarin_Sayi,Kredit_Karti_Limiti,Kredit_Karti_Borcu,Istehlak_Krediti_Statusu,Ayliq_Kredit_Odenisi,Depozit_Portfeli_Hecmi,Son_3_Ayda_Mobil_Tetbiqe_Giris_Sayi,Son_1_Ayda_Filiala_Muraciet_Sayi,Qebz_ID,Tranzaksiya_Tarixi_Saati,Umumi_Mebleg,Odenis_Novu_Detalli,Satici_Adi,MCC_Kateqoriya,Umumi_EDV_Meblegi,Qaytarilan_EDV_Meblegi,EDV_Muraciet_Statusu,EDV_Imtina_Sebebi
10092,26,Qadın,1375.0,58,Aşağı,3,2062.5,733.9,Aktiv,277.5,2216.22,48,0,7636117728423,2025-04-21 10:19:21.770697,36.23,Nağdsız_Bankın_Kartı,Neptun,Supermarket,5.53,0.83,Təsdiqləndi,
10011,54,Kişi,3182.0,300,Aşağı,4,9546.0,2277.84,Yoxdur,0.0,35253.94,52,0,8937136305671,2025-09-27 05:50:24.445349,167.2,Nağdsız_Bankın_Kartı,Kontakt Home,Elektronika/Məişət,25.51,3.83,Təsdiqləndi,
10097,48,Qadın,1389.0,92,Orta,4,2778.0,2002.55,Aktiv,405.96,3692.75,32,1,0719795933397,2025-06-01 17:38:09.144012,11.06,Nağdsız_Bankın_Kartı,Araz,Supermarket,1.69,0.25,Təsdiqləndi,
10085,23,Kişi,2469.0,1,Aşağı,3,3703.5,0.0,Aktiv,689.41,4438.17,74,0,8375161190177,2025-08-11 17:40:56.944327,71.79,Nağdsız_Bankın_Kartı,Bravo,Supermarket,10.95,1.64,Təsdiqləndi,
10064,33,Kişi,1473.0,175,Orta,4,2946.0,2478.64,Aktiv,334.67,1684.41,41,0,4657119004723,2025-06-02 14:17:31.551348,52.12,Nağdsız_Bankın_Kartı,BakuBus Kart Artırılması,Nəqliyyat,7.95,1.19,Təsdiqləndi,
10031,42,Kişi,1940.0,51,Orta,2,3880.0,0.0,Yoxdur,0.0,5779.89,37,0,4307399528296,2025-09-27 18:36:19.654932,78.57,Nağdsız_Bankın_Kartı,Azpetrol,YDM,11.99,1.8,Təsdiqləndi,
10054,29,Qadın,2417.0,64,Aşağı,4,3625.5,0.0,Aktiv,751.61,4938.75,66,1,0403734631044,2025-04-22 20:52:02.949191,60.53,Nağdsız_Bankın_Kartı,Bir-İki Dönər,Restoran/Kafe,9.23,1.38,Təsdiqləndi,
10013,38,Kişi,3018.0,188,Aşağı,1,9054.0,0.0,Yoxdur,0.0,18187.02,59,0,0535261847097,2025-06-09 11:51:05.676362,47.65,Nağd,Bazarstore,Supermarket,7.27,0.73,Təsdiqləndi,
10057,31,Kişi,1115.0,53,Orta,3,2230.0,0.0,Aktiv,382.52,2778.51,40,0,0438990269691,2025-09-06 22:46:14.335753,17.61,Nağdsız_Bankın_Kartı,Azpetrol,YDM,2.69,0.4,Təsdiqləndi,
10090,38,Kişi,1857.0,88,,4,3714.0,0.0,Aktiv,636.01,5545.23,50,0,6210102745716,2025-06-29 22:50:56.328126,60.0,Nağdsız_Bankın_Kartı,,Supermarket,9.15,1.37,Təsdiqləndi,
10013,38,Kişi,3018.0,188,,1,9054.0,0.0,Yoxdur,0.0,18187.02,59,0,8122418977825,2025-06-01 07:56:27.372850,92.54,Nağdsız_Bankın_Kartı,Hippokrat,Aptek,14.12,2.12,Təsdiqləndi,
10046,47,Qadın,,51,,1,7701.0,4956.76,Yoxdur,0.0,35656.72,48,0,7283383011592,2025-05-13 12:48:25.793621,27.38,Nağdsız_Bankın_Kartı,Vapiano,Restoran/Kafe,4.18,0.63,Təsdiqləndi,
10058,46,Qadın,3052.0,88,Aşağı,3,9156.0,3217.52,Yoxdur,0.0,42250.7,56,0,7254280088575,2025-08-18 23:25:33.713437,93.08 AZN,Nağdsız_Bankın_Kartı,Mado,Restoran/Kafe,14.2,2.13,Təsdiqləndi,
10041,80,Kişi,571.0,300,Aşağı,2,0.0,0.0,Yoxdur,0.0,5550.38,25,0,8639885387313,2025-04-10 23:40:50.253155,18.24,Nağdsız_Bankın_Kartı,Bravo,Supermarket,2.78,0.42,Təsdiqləndi,
10005,32,Qadın,2059.0,162,Aşağı,3,3088.5,1048.11,Aktiv,862.78,5729.03,46,0,9257180132247,2025-05-23 14:04:21.106237,121.7,Nağdsız_Bankın_Kartı,Bazarstore,Supermarket,18.56,2.78,Təsdiqləndi,
10025,20,Kişi,388.0,2,Orta,2,0.0,0.0,Yoxdur,0.0,293.01,79,2,4092747240179,2025-08-05 19:16:38.491803,5.0,Nağd,Coffeesta,Restoran/Kafe,0.76,0.08,Təsdiqləndi,
10046,47,Qadın,2567.0,51,Aşağı,1,7701.0,4956.76,Yoxdur,0.0,35656.72,48,0,5130904197446,2025-05-22 20:55:55.506230,342.52,Nağd,Mado,Restoran/Kafe,52.25,5.23,Təsdiqləndi,
10058,46,Qadın,3052.0,88,Aşağı,3,9156.0,3217.52,Yoxdur,0.0,42250.7,56,0,2411176594410,2025-06-13 10:57:19.144749,102.84,Nağdsız_Bankın_Kartı,Mado,Restoran/Kafe,15.69,2.35,Təsdiqləndi,
10077,33,Kişi,2453.0,158,,2,3679.5,2916.39,Yoxdur,0.0,7735.43,66,0,6692902587613,2025-09-10 19:15:53.870100,101.55,Nağdsız_Bankın_Kartı,Avis Aptek,Aptek,15.49,2.32,Təsdiqləndi,
10015,76,Kişi,409.0,300,Aşağı,1,0.0,0.0,Yoxdur,0.0,1645.02,23,1,2879247095370,2025-04-13 10:49:47.689605,31.34,Nağdsız_Bankın_Kartı,BakuBus Kart Artırılması,Nəqliyyat,4.78,0.72,Təsdiqləndi,
10023,34,Kişi,1800.0,26,Aşağı,4,2700.0,404.67,Aktiv,593.32,6588.82,61,0,7516698762081,2025-06-21 23:23:41.091259,43.99,Nağdsız_Bankın_Kartı,Coffeesta,Restoran/Kafe,6.71,1.01,Gözləmədə,
10096,31,Qadın,2190.0,5,Aşağı,1,3285.0,1156.37,Aktiv,519.87,5827.61,69,0,6632844717338,2025-09-19 15:13:16.880938,43.01,Nağdsız_Bankın_Kartı,KFC,Restoran/Kafe,6.56,0.98,Təsdiqləndi,
10058,46,Qadın,3052.0,88,Aşağı,3,9156.0,3217.52,Yoxdur,0.0,42250.7,56,0,3727689784819,2025-05-21 16:54:37.531672,164.38,Nağdsız_Bankın_Kartı,Araz,Supermarket,25.07,3.76,Təsdiqləndi,
10081,28,Kişi,,42,Aşağı,4,3462.0,1952.21,Yoxdur,0.0,10794.41,60,0,2954383792319,2025-07-17 07:25:12.956280,50.59,Nağdsız_Bankın_Kartı,Bravo,Supermarket,7.72,1.16,Təsdiqləndi,
10061,26,Kişi,1471.0,73,Aşağı,2,2206.5,1253.46,Yoxdur,0.0,4465.84,62,0,6365027903468,2025-06-12 12:04:27.569247,110.72,Nağdsız_Bankın_Kartı,Azpetrol,YDM,16.89,2.53,Təsdiqləndi,
10014,23,Kişi,1440.0,58,Aşağı,3,2160.0,0.0,Aktiv,583.16,2242.2,57,0,5760118691013,2025-04-05 07:08:21.321111,19.61,Nağdsız_Bankın_Kartı,Bravo,Supermarket,2.99,0.45,Təsdiqləndi,
10022,44,Qadın,2792.0,3,,3,8376.0,5787.5,Yoxdur,0.0,25146.61,57,0,9875708875471,2025-06-22 20:41:14.588184,89.16,Nağdsız_Bankın_Kartı,28 Cinema,Əyləncə/Asudə Vaxt,13.6,2.04,Təsdiqləndi,
10026,40,Kişi,3334.0,109,Aşağı,1,10002.0,1472.5,Yoxdur,0.0,23166.74,33,0,3433277506115,2025-07-23 02:21:30.877823,108.86,Nağdsız_Bankın_Kartı,Coffeesta,Restoran/Kafe,16.61,2.49,Təsdiqləndi,
10092,26,Qadın,1375.0,58,Aşağı,3,2062.5,733.9,Aktiv,277.5,2216.22,48,0,9626224083094,2025-07-15 20:26:47.552594,18.6,Nağdsız_Bankın_Kartı,Bazarstore,Supermarket,2.84,0.43,Təsdiqləndi,
10059,31,Kişi,983.0,3,Orta,1,1966.0,1116.0,Yoxdur,0.0,1775.92,43,0,3139628075002,2025-05-02 12:30:08.991945,26.51,Nağdsız_Bankın_Kartı,Azpetrol,YDM,4.04,0.61,Təsdiqləndi,
